h,k,l,intensity_exp,error
-10,-4,-10,30.81697811960947,0
-10,-4,-8,74.5435234779759,0
-10,-4,-6,37.62710404307118,0
-10,-3,-9,39.57422908091911,0
-10,-3,-7,32.24829208822982,0
-10,-3,-5,85.73803368499809,0
-10,-2,-10,36.645148999878934,0
-10,-2,-8,64.50667700049236,0
-10,-2,-6,31.844657405879698,0
-10,-2,-4,48.503965475251974,0
-10,-2,-2,42.229945752334174,0
-10,-1,-9,25.285866267010622,0
-10,-1,-7,37.23357714252845,0
-10,-1,-5,162.58682260922097,0
-10,-1,-3,108.52339987841314,0
-10,0,-10,48.274172087855526,0
-10,0,-8,73.87514112463236,0
-10,0,-6,87.19701377849208,0
-10,0,-4,81.83145203176609,0
-10,0,-2,51.04723940005491,0
-10,0,2,86.68565495419556,0
-10,0,10,23.7697096930296,0
-10,1,-9,48.86969435573384,0
-10,1,-7,76.53894710727087,0
-10,1,-5,120.54798578400903,0
-10,1,-3,94.79831652145575,0
-10,1,-1,85.63427631720221,0
-10,1,1,59.84352138696032,0
-10,1,3,119.18252133396757,0
-10,2,-10,84.4322003773604,0
-10,2,-8,58.32212687333826,0
-10,2,-6,100.52576552541875,0
-10,2,-4,126.5976272593858,0
-10,2,-2,42.15942031830846,0
-10,2,2,50.1167846380391,0
-10,2,4,82.04028785639228,0
-10,2,6,26.076648899706168,0
-10,3,-9,41.15673365957479,0
-10,3,-7,20.73990431367409,0
-10,3,-5,76.63406098193634,0
-10,3,-3,56.434223030697744,0
-10,3,-1,108.1368710340175,0
-10,3,1,12.030557918310894,0
-10,3,3,54.181281665043414,0
-10,3,5,48.055919346361094,0
-10,3,7,57.38479641216721,0
-10,4,-10,60.92730258258342,0
-10,4,-6,21.036883307822,0
-10,4,-4,25.855682423962,0
-10,4,-2,42.03072034314431,0
-10,4,0,82.30423408642262,0
-10,4,2,21.7790197377038,0
-10,4,4,8.972418870423033,0
-10,4,6,5.245888172539157,0
-10,4,8,50.204071582114594,0
-10,4,10,22.62295299882504,0
-9,-4,-9,31.59185311292316,0
-9,-4,-7,49.07902635666782,0
-9,-3,-10,22.373077484769432,0
-9,-3,-8,106.74800434611808,0
-9,-3,-6,103.13932311370327,0
-9,-3,-4,63.115914397767924,0
-9,-3,10,116.79130998056895,0
-9,-2,-9,70.14295290107599,0
-9,-2,-5,67.5133411128129,0
-9,-2,-3,229.01881076974928,0
-9,-2,-1,114.06156395777413,0
-9,-2,9,62.33671705875775,0
-9,-1,-6,221.03389478084196,0
-9,-1,-4,29.823110206186,0
-9,-1,-2,188.4903596536154,0
-9,-1,0,187.5809182734859,0
-9,-1,8,63.49461046541498,0
-9,-1,10,126.24185967158623,0
-9,0,-9,36.52376078631962,0
-9,0,-7,200.76728548425058,0
-9,0,-5,83.51182025262376,0
-9,0,-3,288.9821896110267,0
-9,0,-1,5.529927188578276e-10,0
-9,0,1,43.271806367862524,0
-9,0,3,87.55563989883304,0
-9,0,9,49.396025280848086,0
-9,1,-10,211.7888841766205,0
-9,1,-6,141.5464125549018,0
-9,1,-4,71.37502274371484,0
-9,1,-2,277.65037822908494,0
-9,1,0,190.4049141110678,0
-9,1,2,279.5198716364104,0
-9,1,4,14.312382766295954,0
-9,2,-9,19.20263479431539,0
-9,2,-5,184.60580264663022,0
-9,2,-3,348.67591802732017,0
-9,2,-1,27.520060145508648,0
-9,2,1,37.45006377696574,0
-9,2,3,98.17016410502835,0
-9,2,5,185.36893387383847,0
-9,2,7,34.801512192652844,0
-9,3,-10,181.83027106306346,0
-9,3,-8,147.87827849370933,0
-9,3,-6,148.03029515792016,0
-9,3,-2,114.01649849685191,0
-9,3,0,149.79938319796577,0
-9,3,2,164.6068167568113,0
-9,3,4,28.55570084803887,0
-9,3,6,38.724010290947774,0
-9,3,8,25.21125203775151,0
-9,4,-9,60.07738949896213,0
-9,4,-7,51.33121372170733,0
-9,4,-5,43.21904498497262,0
-9,4,-3,180.19448070647627,0
-9,4,-1,19.878604939205704,0
-9,4,1,73.52639252220177,0
-9,4,3,53.46593388354526,0
-9,4,5,44.704580707233966,0
-9,4,7,58.54004743131214,0
-9,4,9,27.298528544166498,0
-8,-4,-8,127.64964992130275,0
-8,-4,-6,59.65158345846651,0
-8,-4,-4,34.23663977426214,0
-8,-3,-9,129.24760668879864,0
-8,-3,-5,388.6599522762611,0
-8,-3,9,16.27478796013402,0
-8,-2,-10,175.8330170613953,0
-8,-2,-8,195.97378955395143,0
-8,-2,-2,101.64163270230333,0
-8,-2,0,619.7070096782035,0
-8,-2,8,253.10317215228847,0
-8,-2,10,34.1832908355515,0
-8,-1,-9,54.18550760734729,0
-8,-1,-5,240.77139407322449,0
-8,-1,-3,262.955065808907,0
-8,-1,-1,395.12875519768556,0
-8,-1,1,207.84600184209995,0
-8,-1,7,101.93759777154132,0
-8,-1,9,44.73190028139274,0
-8,0,-10,86.73019096857065,0
-8,0,-8,270.7613914777307,0
-8,0,-6,215.01038331319586,0
-8,0,-2,169.53662465366972,0
-8,0,0,793.1585514892454,0
-8,0,2,60.998841690271156,0
-8,0,4,177.6279165096959,0
-8,0,10,57.88507919053964,0
-8,1,-9,169.7130278887734,0
-8,1,-7,126.50331440335658,0
-8,1,-5,376.5779063951362,0
-8,1,-3,319.64146420011224,0
-8,1,1,149.98163846384094,0
-8,1,3,199.2731500742629,0
-8,1,5,199.88783885239644,0
-8,1,7,142.25234397714175,0
-8,1,9,41.34691805845967,0
-8,2,-10,156.54178432907148,0
-8,2,-8,256.33741935227675,0
-8,2,-6,128.31470048218154,0
-8,2,-4,302.12205190219134,0
-8,2,-2,135.6871837928161,0
-8,2,0,95.90626821378856,0
-8,2,2,98.67909048758027,0
-8,2,4,59.51671709478228,0
-8,2,6,15.55421975436713,0
-8,2,8,140.5520070963498,0
-8,3,-9,33.08390931968067,0
-8,3,-7,90.40196037020691,0
-8,3,-5,146.64761701493006,0
-8,3,-3,286.058562932541,0
-8,3,-1,217.32706181368815,0
-8,3,1,92.8683095679999,0
-8,3,3,211.808082004311,0
-8,3,7,131.79508575080567,0
-8,3,9,29.743846602804496,0
-8,4,-10,37.90529867657131,0
-8,4,-8,48.13337678785219,0
-8,4,-6,82.62385483689044,0
-8,4,-4,119.69647325092971,0
-8,4,-2,119.42030858909067,0
-8,4,0,129.241830537113,0
-8,4,2,35.43463093196734,0
-8,4,4,54.4063101850368,0
-8,4,6,21.809494997411022,0
-8,4,8,15.8429656804967,0
-8,4,10,33.07709443575515,0
-7,-4,-9,66.22828523463204,0
-7,-4,-3,194.8108761010331,0
-7,-4,7,87.35083700405838,0
-7,-4,9,61.62070886536106,0
-7,-3,-4,34.835177917330455,0
-7,-3,-2,326.5437661754125,0
-7,-3,6,245.9196637957759,0
-7,-3,8,66.34847601251394,0
-7,-3,10,145.1365494456687,0
-7,-2,-7,371.24952837315595,0
-7,-2,-3,373.67276577918364,0
-7,-2,-1,222.00264978236333,0
-7,-2,7,114.97359335495601,0
-7,-1,-8,220.67084735842388,0
-7,-1,-4,107.39951117995983,0
-7,-1,0,490.22349370795223,0
-7,-1,6,267.6006244555917,0
-7,-1,8,136.31353561345068,0
-7,0,-9,75.9863700057318,0
-7,0,-7,281.019928700427,0
-7,0,-5,947.3026905712696,0
-7,0,-3,437.52208123887397,0
-7,0,-1,362.2854234171863,0
-7,0,1,492.6625843929336,0
-7,0,5,351.4400742120089,0
-7,0,7,151.08385627127964,0
-7,0,9,84.62581509144164,0
-7,1,-8,262.51502953213446,0
-7,1,-6,535.6040766113377,0
-7,1,-4,120.771892295491,0
-7,1,-2,861.2535407790158,0
-7,1,0,499.7077295669707,0
-7,1,2,359.2483183779383,0
-7,1,4,88.12568864867984,0
-7,1,6,236.45324516656584,0
-7,1,8,98.21326668203828,0
-7,1,10,79.27092005442199,0
-7,2,-9,79.99537746981488,0
-7,2,-7,260.81339222317405,0
-7,2,-5,467.8221167780391,0
-7,2,-3,252.57310479353782,0
-7,2,-1,213.6138982020955,0
-7,2,1,113.96176661891194,0
-7,2,3,317.4625537464687,0
-7,2,5,294.4389406010882,0
-7,2,7,104.4489326026125,0
-7,2,9,69.1628643979415,0
-7,3,-10,399.767549815532,0
-7,3,-6,436.56657823802743,0
-7,3,-4,56.49010133386766,0
-7,3,-2,453.2256298647802,0
-7,3,0,177.9846388971212,0
-7,3,2,335.84671831204724,0
-7,3,4,36.31809848710345,0
-7,3,6,142.94190902717656,0
-7,3,8,73.02849352272844,0
-7,4,-9,73.64916620468594,0
-7,4,-7,110.39166246552293,0
-7,4,-5,158.5880785735239,0
-7,4,1,0.13439874803996368,0
-7,4,3,113.46540717378001,0
-7,4,5,172.15637529616217,0
-7,4,7,77.9786632571636,0
-7,4,9,100.54905053957856,0
-6,-4,-10,125.54628584162478,0
-6,-4,-4,170.67929257075593,0
-6,-4,6,79.08882639196698,0
-6,-4,8,273.01678766815826,0
-6,-3,-9,78.35649178678023,0
-6,-3,-7,225.52062970731652,0
-6,-3,-5,475.59631729147463,0
-6,-3,-1,544.9316265595994,0
-6,-3,5,430.94331490414135,0
-6,-3,7,134.15999917205147,0
-6,-3,9,51.50544904851086,0
-6,-2,-10,166.35614702216432,0
-6,-2,-6,162.13119448520698,0
-6,-2,-4,489.139895507818,0
-6,-2,-2,275.48564833197884,0
-6,-2,2,331.6805386642826,0
-6,-2,6,85.54678095899672,0
-6,-2,8,511.116175761507,0
-6,-1,-7,339.15386121026086,0
-6,-1,-5,737.4208098589386,0
-6,-1,-1,552.750021357756,0
-6,-1,1,435.4706574968142,0
-6,-1,3,756.0791905101107,0
-6,-1,5,651.3906503267186,0
-6,-1,7,272.79488876326343,0
-6,-1,9,88.10406053044653,0
-6,0,-10,267.2007305495368,0
-6,0,-8,1140.2765182511498,0
-6,0,-4,631.952494812361,0
-6,0,-2,457.57580646657624,0
-6,0,0,2152.431091811887,0
-6,0,2,447.8604143754822,0
-6,0,4,423.3224647985149,0
-6,0,6,148.37091363753584,0
-6,0,10,227.36051864047596,0
-6,1,-9,207.87145655600457,0
-6,1,-7,539.9536310620986,0
-6,1,-5,1209.3967240121901,0
-6,1,-3,725.1423805243323,0
-6,1,-1,156.44734926455908,0
-6,1,1,521.9161511560492,0
-6,1,3,809.3072356707688,0
-6,1,5,463.23164034161084,0
-6,1,7,189.36747215529132,0
-6,1,9,66.4659314632402,0
-6,2,-10,267.37462972742856,0
-6,2,-8,1689.0816908897198,0
-6,2,-6,377.131796140399,0
-6,2,-2,210.89760530383148,0
-6,2,0,1199.5976622876046,0
-6,2,2,263.14935550896246,0
-6,2,4,375.1534677540523,0
-6,2,6,134.69596241674324,0
-6,2,10,108.90819810538554,0
-6,3,-9,211.34389666029693,0
-6,3,-7,332.803576431814,0
-6,3,-5,530.886546247219,0
-6,3,-3,415.26983769701957,0
-6,3,-1,256.63894632088807,0
-6,3,1,182.63056749535556,0
-6,3,3,181.52795358009658,0
-6,3,5,428.97408183245,0
-6,3,7,188.1039251864889,0
-6,3,9,92.11480945623882,0
-6,4,-8,518.2319723740852,0
-6,4,-6,108.81211690303265,0
-6,4,-4,304.44842603381625,0
-6,4,-2,177.24906319707523,0
-6,4,0,637.3866324484909,0
-6,4,2,177.754586797399,0
-6,4,4,151.45450694875683,0
-6,4,6,76.35258222675363,0
-6,4,8,276.2295390637745,0
-6,4,10,66.01106809376284,0
-5,-4,-9,105.77239139264562,0
-5,-4,-7,184.49326458025052,0
-5,-4,-5,344.3607158043151,0
-5,-4,-1,239.1689639995006,0
-5,-4,5,647.3042041667762,0
-5,-4,7,155.1986875952097,0
-5,-4,9,133.9110973090382,0
-5,-3,-10,642.9420169573475,0
-5,-3,-8,382.26373738637875,0
-5,-3,-4,138.84185786989872,0
-5,-3,-2,980.0150864751784,0
-5,-3,4,86.78908094007426,0
-5,-3,6,664.4963994135552,0
-5,-3,10,446.9915769719348,0
-5,-2,-7,503.39304104358126,0
-5,-2,-5,1022.1532847111832,0
-5,-2,5,968.5285622131521,0
-5,-2,7,313.9753037691434,0
-5,-1,-8,613.3078600115344,0
-5,-1,-6,1324.746911099985,0
-5,-1,-4,260.6918744115582,0
-5,-1,4,104.79138505521543,0
-5,-1,6,445.3110048232651,0
-5,-1,8,330.0539677584857,0
-5,0,-9,278.7132732312785,0
-5,0,-7,752.8792822262385,0
-5,0,-5,2030.991427193711,0
-5,0,-3,1879.2811213741218,0
-5,0,5,870.6387810509605,0
-5,0,7,303.5232045547269,0
-5,0,9,117.99734119281243,0
-5,1,-10,1022.289023907674,0
-5,1,-6,1282.3819997430182,0
-5,1,-4,171.32046886074593,0
-5,1,-2,1706.7207879385562,0
-5,1,0,1287.6644747059925,0
-5,1,6,365.61799295216156,0
-5,1,8,308.0292779588406,0
